Bill Number,Bill Name,Summary,Status,Caucus,Committee
H.R. 3356 (117th),HAVANA Act of 2021,"This bill specifically authorizes the Central Intelligence Agency, the Department of State, and other agencies to provide payments to agency personnel who incur brain injuries from hostilities while on assignment.Specifically, the bill allows agency personnel and their families to receive payments for brain injuries that are incurred (1) during a period of assignment to a foreign duty station; (2) in connection with war, insurgency, hostile acts, terrorist activity, or other agency-designated incidents; and (3) not as the result of willful misconduct.The bill's authority applies to injuries incurred before, on, or after the date of the bill's enactment. Agencies must submit classified reports on the bill's implementation, including the number of payments made and the amount of each payment.Since 2016, some intelligence, diplomatic, and other governmental personnel have reported experiencing unusual cognitive and neurological impairments while on assignment (particularly abroad), the source of which is currently under investigation. Symptoms were first reported by personnel stationed in Cuba and have since been collectively referred to as Havana Syndrome.",Enacted,Congressional Brain Injury Task Force,"State, Foreign Operations and Related Programs"
S. 1672 (117th),ROCKS Act,"This bill directs the Department of Transportation to establish a working group of stakeholders (e.g., state, tribal, and local transportation and planning agencies) with knowledge and expertise in the production and transportation of materials used in the construction and maintenance of transportation infrastructure projects to conduct a study on access to such materials, including access to stone, sand, and gravel.",Enacted,Construction Procurement Caucus,"Transportation, Housing and Urban Development and Related Agencies"
H.R. 2746 (117th),"To amend title 28, United States Code, to redefine the eastern and middle judicial districts of North Carolina.",This bill moves portions of four counties encompassing the Fort Bragg Military Reservation and Camp Mackall from the Middle District to the Eastern District of North Carolina.,Enacted,Congressional Military Family Caucus,Defense
H.R. 1157 (117th),Department of State Authorization Act of 2021,"This bill modifies the management and operations of the Department of State through various measures. These include requiring actions to recruit and retain a diverse workforce, establishing offices and roles to carry out designated functions, and providing for certain public diplomacy and anti-corruption measures.Specifically, the bill addresses personnel matters within the State Department by, for example, requiring the State Department to submit a comprehensive five-year strategic staffing plan and otherwise modifying provisions related to home leave travel, employee assignment restrictions and preclusions, and the recall and reemployment of career members of the Foreign and civil service. Further, the bill establishes recruitment, retention, and promotion requirements to further the goal of achieving a more diverse workforce at the State Department.In addition, the bill modifies the organization and operations of the State Department by, among other things, (1) providing statutory authority for the Bureau of Consular Affairs and the Bureau of Population, Refugees, and Migration; and (2) authorizing the establishment of an Assistant Secretary of State for Energy Resources to handle global energy-related issues. The bill also establishes measures to address State Department information and data security, revises procedures and requirements related to the overseas construction of embassies and consulates, and requires the State Department to report on the efforts of the Coronavirus Repatriation Task Force.",Enacted,Congressional Foreign Policy Caucus,"State, Foreign Operations and Related Programs"
H.R. 2704 (117th),Improving VA Accountability To Prevent Sexual Harassment and Discrimination Act of 2021,"This bill requires the Department of Veterans Affairs (VA) to implement various policies and procedures related to sexual harassment, other harassment, and employment discrimination.The bill requires the VA to ensure that the official who serves as the VA's Equal Employment Opportunity Director reports directly to the Deputy Secretary and does not also serve in a position that has responsibility over personnel functions or functions that conflict with the equal employment functions, each Equal Employment Opportunity program manager at the facility level reports to the head of the Office of Resolution Management (ORM) with respect to equal employment functions, and the employment discrimination complaint resolution system requires any VA manager who receives a harassment or employment discrimination complaint to report such complaint to the ORM immediately (or within two business days of receiving the complaint if immediate reporting is impracticable). The VA must provide employees with mandatory annual training on identifying and addressing sexual harassment, other harassment, and employment discrimination, including with respect to processes under the VA's Harassment Prevention Program.The VA must regularly review the policies relating to sexual harassment, other harassment, and employment discrimination to ensure its policies are complete and in accordance with the policies established by the ORM. Additionally, the VA must issue a final directive and handbook for its Harassment Prevention Program.",Enacted,Congressional Women's Caucus,"Military Construction, Veterans Affairs and Related Agencies"
H.R. 707 (117th),Ghost Army Congressional Gold Medal Act,"This bill directs the Speaker of the House of Representatives and the President pro tempore of the Senate to award a Congressional Gold Medal to the 23rd Headquarters Special Troops and the 3133rd Signal Service Company, known as the Ghost Army, collectively, in recognition of its service during World War II.",Enacted,Congressional Military Family Caucus,Defense
H.R. 210 (117th),Rural STEM Education Research Act,"This bill specifies federal scientific research and development efforts towards STEM (science, technology, engineering, and mathematics, including computer science) workforce development and rural STEM education.(Sec. 3) The bill amends the objectives of the Manufacturing Extension Partnership program to include the provision to secondary schools of information about the job skills needed in manufacturing companies, and the promotion and expansion of certification systems offered through local high schools. The activities of a manufacturing extension center are expanded to include local high schools in the facilitation of collaborations and partnerships between manufacturing companies and schools to help those entities better understand the specific needs of manufacturers and to help manufacturers better understand the skill sets that students learn in school programs.The National Institute of Standards and Technology (NIST) must award prizes to stimulate research and development of creative technologies in order to deploy affordable and reliable broadband connectivity to underserved rural communities. NIST may award not more than a total of $5 million in prizes.(Sec. 4) The Office of Science and Technology Policy must establish a broadband research and development working group to address national research challenges and opportunities for improving broadband access and adoption across the United States.(Sec. 5) The National Science Foundation (NSF) shall enter into an agreement with the National Academy of Sciences under which the National Academy of Sciences agrees to evaluate aspects of STEM education and workforce development in rural areas. (Sec. 6) The Government Accountability Office shall conduct a study on the engagement of rural populations in federal STEM programs.(Sec. 7) Experimental Program to Stimulate Competitive Research (EPSCoR) programs shall consider modifications to award structures to increase the capacity of rural communities to provide quality STEM education and STEM workforce development programming to students and teachers.(Sec. 8) The NSF must award grants to institutions of higher education or nonprofit organizations for (1) research and development to advance innovative approaches to support and sustain high-quality STEM teaching in rural schools, (2) research and development of programming to identify the barriers rural students face in accessing high-quality STEM education, (3) development of innovative solutions to improve the participation and advancement of rural students in grades Pre-K through 12 in STEM studies, and (4) research on online STEM education courses for rural communities.The NSF may establish a pilot program of regional cohorts in rural areas to provide peer support, mentoring, and hands-on research experiences for rural STEM educators of students in grades Pre-K through 12 in order to build an ecosystem of cooperation among educators, researchers, academia, and local industry.",Enacted,Congressional Rural Caucus,Communications and Technology
S. 1603 (117th),Joint Chiefs Landscape Restoration Partnership Act of 2021,"This bill directs the Department of Agriculture (USDA) to establish a Joint Chiefs Landscape Restoration Partnership program to improve the health and resilience of forest landscapes across National Forest System lands and state, tribal, and private lands. Activities under the program may include reducing the risk of wildfire, protecting water quality and supply, or improving wildlife habitat for at-risk species.",Enacted,Congressional Forestry Caucus,Forestry
S. 593 (117th),Alaska Tourism Restoration Act,"This bill temporarily allows specific foreign-owned and foreign-flagged cruise ships to transport passengers directly between ports in the states of Washington and Alaska without stopping in Canada. Under current law, these ships cannot transport passengers from one U.S. port to another without stopping in a foreign country.The bill deems a round trip voyage between ports in the states of Washington and Alaska as a foreign voyage if (1) during the voyage, the operators of such voyage send U.S. Customs and Border Protection and the Canada Border Services Agency an email containing the names of each alien crew member with a valid nonimmigrant work visa; and (2) the voyage begins not later than February 28, 2022. The operators of these voyages must also retain a COVID-19 Conditional Sailing Certificate from the Centers for Disease Control and Prevention (CDC).Authority to conduct these voyages shall terminate on March 31, 2022, or when Canada lifts its COVID-related restrictions, whichever occurs first. Voyages may not occur during any period for which the CDC has issued an order to suspend cruise ship operations.The bill also directs the Department of Transportation to require, through regulations, the installation of automated external defibrillators on passenger vessels (including cruise ships).",Enacted,Travel and Tourism Caucus,Transportation and Maritime Security
H.R. 3232 (117th),For the relief of Ingrid Encalada Latorre.,,Enacted,Immigration Reform Caucus,"Immigration Integrity, Security and Enforcement"
H.R. 3192 (117th),Disaster Assistance for Rural Communities Act,"This bill authorizes the Small Business Administration (SBA) to declare a disaster in rural areas where significant damage has been incurred for the purpose of providing certain assistance.A rural area is a geographic area with a population of less than 200,000 outside an urbanized area. Significant damage means uninsured losses of not less than 40% of the fair replacement value or pre-disaster fair market value of the damaged property (whichever is less).For a rural area where the President has declared a major disaster, the SBA may declare a disaster for the purpose of providing economic injury disaster loans if (1) the state wherein the rural area is located requests the declaration; and (2) any home, small business, private nonprofit organization, or small agricultural cooperative has incurred significant damage.The Government Accountability Office must report on (1) any unique challenges to communities in rural areas compared to communities in urbanized areas when seeking economic injury disaster assistance, and (2) any legislative recommendations for improving access to disaster assistance for communities in rural areas.",Enacted,Rural Caucus,"Agriculture, Rural Development, Food and Drug Administration and Related Agencies"
H.R. 3211 (117th),Joint Chiefs Landscape Restoration Partnership Act of 2021,"This bill directs the Department of Agriculture (USDA) to establish a Joint Chiefs Landscape Restoration Partnership program to improve the health and resilience of forest landscapes across National Forest System lands and state, tribal, and private lands. Activities under the program may include reducing the risk of wildfire, protecting water quality and supply, or improving wildlife habitat for at-risk species.",Enacted,Congressional Forest Health Caucus,Forestry
S. 228 (117th),Merger Filing Fee Modernization Act of 2021,This bill modifies and expands the schedule for graduated merger filing fees and requires that such fees be adjusted each year based on the Consumer Price Index.,Enacted,Congressional Competition Caucus,Financial Services and General Government
H.R. 3133 (117th),National Secure Data Service Act,"This bill establishes a National Secure Data Service demonstration project. The bill follows a recommendation in the 2017 Commission on Evidence-Based Policymaking report calling for establishment of such a service to facilitate access to data across government.The project shall be (1) aligned with the principles, best practices, and priority actions recommended by the Advisory Committee on Data for Evidence Building; and (2) managed by the National Center for Science and Engineering Statistics.The project shall engage with state and federal agencies to collect, acquire, analyze, report, and disseminate statistical data in the United States and other nations to support government-wide evidence-building activities.The bill includes provisions to ensure confidentiality and transparency.",Enacted,Congressional Data for Evidence-Based Policy Caucus,"Commerce, Justice, Science and Related Agencies"
S. 1306 (117th),Make PPE in America Act,"This bill requires procurement contracts for personal protective equipment (PPE) to be long-term and for domestically manufactured PPE.Specifically, contracts entered into by the Departments of Homeland Security, Health and Human Services, Defense, Education, or Veterans Affairs for the procurement of PPE must be for a duration of at least three years, including a base period and all option periods, to incentivize investment in the production of PPE, and materials and components of PPE, in the United States.The bill provides exceptions (1) where a nonavailability determination has been made, (2) where a sufficient quantity of a satisfactory quality cannot be procured as and when needed at U.S. market prices, and (3) where the department certifies every 120 days that it is necessary to procure PPE under alternate procedures to respond to the immediate needs of a public health emergency.Such departments may transfer to the Strategic National Stockpile any excess PPE acquired under a contract.",Enacted,Congressional Domestic Pharmaceutical Manufacturing Caucus,Homeland Security
S. 140 (117th),BLUE GLOBE Act,"This bill addresses data collection and monitoring of the Great Lakes, oceans, bays, estuaries, and coasts.Specifically, it expands requirements related to a study of the scientific workforce in areas of oceanic and atmospheric research and development. For example, the bill requires the study to include an investigation on whether there is a workforce shortage in the number of individuals with technical or trade-based skillsets or credentials suited to a career in oceanic and atmospheric data collection, processing, satellite production, or satellite operations. The study must also investigate actions the federal government can take to increase diversity in the scientific workforce and shorten the hiring backlog for such workforce.The bill also directs the National Oceanic Atmospheric Administration (NOAA) to create an Electronic Monitoring Innovation Prize, which may be awarded for the development of advanced electronic fisheries monitoring equipment and data analysis tools.NOAA must also seek to enter into an agreement with the National Academy of Sciences to evaluate whether there is a need for an Advanced Research Projects Agency-Oceans within NOAA.Additionally, NOAA must establish a program to improve the collection, aggregation, and analysis of data to measure the value and impact of industries related to the Great Lakes, oceans, bays, estuaries, and coasts on the U.S. economy.",Enacted,Congressional Ocean Caucus,"Commerce, Justice, Science and Related Agencies"
H.R. 297 (117th),"To require the Secretary of Agriculture to conduct a study on the establishment of, and the potential land that could be included in, a unit of the National Forest System in the State of Hawaii, and for other purposes.","This bill directs the Forest Service to conduct a study to (1) determine the suitability and feasibility of establishing a unit of the National Forest System in the islands of Hawaii, Maui, Molokai, Lanai, Oahu, and Kauai in the state of Hawaii; and (2) identify available land within the study area that could be included in such unit.",Enacted,Agriculture Research Caucus,Forestry
S. 1353 (117th),Advancing American AI Act,"This bill requires specified federal agencies to take steps to promote artificial intelligence (AI) while aligning with U.S. values, such as the protection of privacy, civil rights, and civil liberties.The Office of Management and Budget must establish mechanisms to continually refine guidance issued to agencies regarding AI as best practices evolve, issue a memorandum to each agency that articulates the method by which the agency shall make public information about the agency's use of AI, and identify at least five new use cases for the application of cross-enterprise AI-enabled systems to support modernization initiatives across agencies. The Office of Federal Procurement Policy and the Chief Acquisition Officers Council or a council working group shall develop a process to ensure that contracts involving AI align with agency guidance and address protection of privacy.The Department of Homeland Security shall revise the legal and approval processes for the procurement and use of AI-enabled systems to ensure that full consideration is given to the privacy, civil rights, and civil liberties impacts of such systems.The bill revises and extends pilot programs regarding the acquisition of innovative commercial items and certain research and development projects.",Enacted,Congressional Artificial Intelligence Caucus,"Cyber, Information Technologies and Innovation"
H.R. 3135 (117th),Captive Primate Safety Act,"This bill limits the trade and possession of nonhuman primates. For example, the bill prohibits most individuals from owning a nonhuman primate as a pet.",Enacted,Congressional Animal Protection Caucus,"Conservation, Research and Biotechnology"
S. 1303 (117th),"Build America, Buy America Act","This bill requires federal infrastructure programs to provide for the use of materials produced in the United States.Each federal agency must submit to the Office of Management and Budget and to Congress a report that identifies each federal financial assistance program for infrastructure administered by the agency and (1) identify domestic content procurement preferences applicable to the assistance, (2) assess the applicability of such requirements, (3) provide details on any applicable domestic content procurement preference requirement, and (4) include a description of the type of infrastructure projects that receive funding under the program.Each agency shall ensure that none of the funds made available for such a program may be used for a project unless all of the iron, steel, and manufactured products used in the project are produced in the United States, subject to waivers where inconsistent with the public interest, where not produced in sufficient quantities or satisfactory quality, or where such inclusion will increase the cost of the project by more than 25%.",Enacted,Infrastructure Caucus,"Transportation, Housing and Urban Development and Related Agencies"
S. 1289 (117th),Marine Mammal Research and Response Act of 2021,"This bill provides support for efforts to protect marine mammals.Specifically, the bill reauthorizes through FY2026 and generally revises the John H. Prescott Marine Mammal Rescue Assistance Grant Program, including by renaming the program as the John H. Prescott Marine Mammal Rescue and Response Grant Program. The bill also establishes the Joseph R. Geraci Marine Mammal Rescue and Rapid Response Fund for providing emergency financial assistance for certain stranded or entangled marine mammals and otherwise provides support for marine mammals.",Enacted,Congressional Seafood Caucus,"Conservation, Research and Biotechnology"
H.R. 958 (117th),Protecting Moms Who Served Act,"This bill requires the Department of Veterans Affairs (VA) to implement the maternity care coordination program. The VA must provide community maternity care providers (i.e., non-VA maternity care providers) with training and support with respect to the unique needs of pregnant and postpartum veterans, particularly regarding mental and behavioral health conditions in relation to the service of the veterans in the Armed Forces.Additionally, the Government Accountability Office must report on maternal mortality and severe maternal morbidity among pregnant and postpartum veterans, with a focus on racial and ethnic disparities in maternal health outcomes for veterans.",Enacted,Congressional Maternity Care Caucus,"Military Construction, Veterans Affairs and Related Agencies"
S. 1316 (117th),Cyber Response and Recovery Act of 2021,"This bill authorizes the Department of Homeland Security (DHS) to declare a significant incident in the event of a breach of a public or private network and establishes a Cyber Response and Recovery Fund.Specifically, DHS may make the declaration upon determining that a specific significant incident has occurred or is likely to occur imminently and that otherwise available resources, other than the fund, are likely insufficient to respond to or mitigate the incident effectively.Upon a declaration, the Cybersecurity and Infrastructure Security Agency must coordinate (1) the response activities of each federal agency; and (2) with other responding entities, including local governments and law enforcement agencies.The fund shall be available for the coordination of such activities and for response and recovery support.",Enacted,Congressional Cybersecurity Caucus,Cybersecurity and Infrastructure Protection
H.R. 3158 (117th),Repealing Existing Substandard Provisions Encouraging Conciliation with Tribes Act,"This bill repeals certain provisions related to the treatment of Indians, including provisions on hostile tribes, alcohol, work requirements, penalties for truancy, and placement of youth in reform school without the consent of a parent or guardian.",Enacted,Congressional Native American Caucus,Indian and Insular Affairs
S. 732 (117th),BuyAmerican.gov Act of 2021,"This bill directs the President and specified federal agencies to take steps to increase transparency and limit the use of waivers of Buy American laws. Generally, Buy American requires agencies to procure domestic goods.The bill requires (1) the Department of Commerce to report periodically to Congress and the President on the implementation of, and compliance with, Buy American laws; (2) Commerce and the Office of the U.S. Trade Representative to assess the impacts of all U.S. free trade agreements and the World Trade Organization Agreement on Government Procurement on the operation of such laws; and (3) the General Services Administration (GSA) to establish a free, publicly available BuyAmerican.gov website. Public interest waivers from Buy American laws shall be construed to ensure the maximum utilization of goods, products, and materials produced in the United States.The President shall develop a mechanism to collect information on requests to waive Buy American laws and other domestic content restrictions for purposes of providing early notice to possible waivers via the website. Executive agencies shall make information concerning the intention to issue a waiver or exception in connection with a federal procurement available to the GSA at least 20 days prior to waiving a Buy American law.The Government Accountability Office shall report to Congress within two years of this bill's enactment describing the bill's implementation.",Enacted,Congressional Buy American Caucus,"Commerce, Justice, Science and Related Agencies"
H.R. 2985 (117th),Rural Area Opioid Prevention Pilot Program Act,"This bill expands the allowable uses of grant funds under the Comprehensive Opioid Abuse Grant Program administered by the Department of Justice.Specifically, the bill allows grants to be used for pilot programs for rural areas to implement community response programs that focus on alternatives to incarceration and reducing opioid overdose deaths.The bill also requires at least 10% of grants under the program to be awarded to rural areas.",Enacted,Congressional Rural Health Caucus,"Commerce, Justice, Science and Related Agencies"
H.R. 2935 (117th),VA Beneficiary Debt Collection Improvement Act,"This bill addresses the administration of debt related to Department of Veterans Affairs (VA) programs and benefits.Specifically, the bill prohibits an individual from incurring a debt to the United States that arises from participation in a VA benefits program and is attributable to the failure of the VA to process information according to its timeliness standards.The VA must notify an individual if it has made an overpayment to the individual and include in the notice information on the right to dispute the overpayment or request a waiver of indebtedness. The VA is prohibited from taking action regarding an overpayment until 90 days after the notice is issued, except in specified circumstances.The VA is prohibited from charging interest or administrative costs for debts related to its disability compensation program, pension program, or educational assistance program.The bill extends from 180 days to one year the deadline by which an individual may request a waiver for relief from paying a debt related to VA benefits.Additionally, the VA is prohibited from seeking to recover a debt if it determines the cost to the VA to recover the debt would exceed the amount of the debt itself.The VA must establish an administrative process for the dispute of a debt's existence or the amount of the debt. The VA is prohibited from deducting from an individual's VA benefits to offset a debt if the amount of the debt is being disputed.",Enacted,Veterans' Affairs Caucus,"Military Construction, Veterans Affairs and Related Agencies"
H.R. 2991 (117th),Connecting America\u2019s Active Transportation System Act,"This bill directs the Department of Transportation (DOT) to carry out an active transportation investment program to provide competitive grants to state, local, and regional government entities, and Indian tribes to construct projects that connect walking and bicycling infrastructure within and between communities, metropolitan regions, or states.The bill sets forth various limitations on the use of funds by DOT, including that it must obligate at least 30% of funds to projects that connect people with public transportation, businesses, workplaces, schools, residences, recreation areas, and other community activity centers; set aside at least $3 million to provide planning grants for eligible entities; and set aside at least $2 million to cover the costs of administration, research, technical assistance, communications, and training activities under the program. The federal share of grants must not exceed 80% of the total project cost. However, DOT may increase the federal share to 100% for disadvantaged communities with a poverty rate of over 40%.",Enacted,Congressional Active Transportation Caucus,"Transportation, Housing and Urban Development and Related Agencies"
H.R. 2082 (117th),VA Supply Chain Resiliency Act,"This bill addresses the Department of Veterans Affairs (VA) supply chain processes, particularly during emergency periods.The bill requires the VA to submit a report containing a description of the items and quantities of items that are critical with respect to the VA's ongoing response to the COVID-19 (i.e., coronavirus disease 2019) pandemic and future epidemic, pandemic, emergency, national emergency, or natural disaster scenarios.The VA and the Department of Defense (DOD) must enter into an agreement to provide for the participation of the VA in the Warstopper Program of the Defense Logistics Agency (DLA) of DOD. The Warstopper Program was established to satisfy requirements for sudden and sustained increases in production of critical industrial and medical items.Under such an agreement, the DLA must ensure the maintenance and stability of the items the VA identifies as critical in its report (and that the VA and DOD determine are appropriate for the program), establish guidance for the participation of the VA in the program, and use existing and new contracts and agreements to reserve the supply of critical items. Finally, the VA must ensure it does not exclusively rely on holding regional, physical inventories of critical items in order to respond to greater than expected needs during epidemic, pandemic, emergency, national emergency, or natural disaster situations.",Enacted,Congressional Supply Chain Caucus,"Military Construction, Veterans Affairs and Related Agencies"
H.R. 2630 (117th),Extending Temporary Emergency Scheduling of Fentanyl Analogues Act,"This bill extends until September 30, 2021, the temporary scheduling order issued by the Drug Enforcement Administration to place fentanyl-related substances in schedule I of the Controlled Substances Act. The temporary order expires on May 6, 2021.",Enacted,Congressional Fentanyl Prevention Caucus,"""Homeland Security"""
H.R. 2945 (117th),VR&E NEED Act,"This bill extends a veteran's eligibility for the Veteran Readiness and Employment program when educational institutions are temporarily or permanently closed due to an emergency situation, or there is another reason that prevents a veteran from participating.Specifically, the period of eligibility must not run during the period the veteran is prevented from participating in the program. The period must resume on a date, determined by the Department of Veterans Affairs, that is not earlier than the first day after the veteran is able to resume participation and not later than 90 days after that day.",Enacted,Congressional Veterans Jobs Caucus,"Military Construction, Veterans Affairs and Related Agencies"
H.R. 2927 (117th),SAVE Act of 2021,"This bill modifies provisions relating to tax-exempt retirement plans. It (1) allows employers who establish a tax-exempt 403(b) pension plan to participate in a multiple employer plan, (2) allows employers who join an existing pension plan to take the tax credit for small employer pension plans start-up costs, (3) makes certain findings relating to S corporation employee stock ownership plans (ESOPs), (4) reduces the excise tax on certain accumulations in tax-exempt retirement plans and on failures to take required minimum plan distributions, and (5) sets forth a statute of limitations rule for purposes of the excise tax on excess plan contributions and accumulations in connection with an individual retirement plan.",Enacted,Congressional Retirement Security Caucus,Financial Services and General Government
H.R. 2936 (117th),Protecting America\u2019s First Responders Act of 2021,"This bill makes changes to the Public Safety Officers' Benefits (PSOB) program. The PSOB program provides death, disability, and education benefits to public safety officers and survivors of public safety officers who are killed in the line of duty or permanently disabled as a result of catastrophic injuries sustained in the line of duty.Among the changes, the bill expands the public safety officers eligible for coverage under the PSOB program to include firefighters whose primary duty during an emergency response is to secure the scene or manage traffic and cadets or trainees in candidate-officer training; extends coverage under the PSOB program to certain public safety officers responding outside their jurisdiction; increases the interim benefit amount payable on a claim for death benefits and requires the interim amount to be adjusted annually for inflation; increases the benefit amount payable on a death or disability claim that has been pending for more than 365 days on the date of the final determination; allows the Department of Justice (DOJ) to use investigative tools, including subpoenas, to expedite the processing of claims and obtain information or documentation from third parties (e.g., public agencies); specifies that an injury resulting from a neurocognitive disorder qualifies as a catastrophic injury for the purposes of disability benefits; requires (currently, authorizes) DOJ to provide retroactive education benefits to qualifying children and spouses; specifies that hearing officers appointed to review claims are special government employees (i.e., employees who perform temporary duties for a limited period of time) and are authorized to conduct examinations; and allows responders to the World Trade Center or their surviving family members to file claims for death or disability benefits in certain circumstances.",Enacted,Congressional First Responders Caucus,Homeland Security
H.R. 2923 (117th),Energy Security and Lightering Independence Act of 2021,"This bill authorizes an alien crewman to obtain a permit to land in the United States for up to 180 days if, during this period, the crewman will perform ship-to-ship liquid cargo transfer operations involving a vessel engaged in foreign trade. Currently, an alien crewman may obtain a permit to land for up to 29 days.Under this bill, an alien passing in transit through the United States to board a vessel to perform the above-described liquid cargo transfer operations may qualify as a nonimmigrant in transit. (A qualifying nonimmigrant in transit may obtain a transit visa.)",Enacted,Congressional Energy Export Caucus,Energy and Water Development and Related Agencies
H.R. 2917 (117th),Retirement Parity for Student Loans Act of 2021,This bill allows certain employer-sponsored retirement plans to make matching contributions for an employee's student loan payments as if the loan payments were salary reduction contributions to the retirement plan.,Enacted,Congressional Higher Education Caucus,"Labor, Health and Human Services, Education and Related Agencies"
H.R. 2951 (117th),To direct the Secretary of the Treasury to modify Treasury Regulations relating to insurance-dedicated exchange-traded funds.,"This bill requires the Department of the Treasury, within five years of the enactment of this bill, to modify its regulations relating to Income Tax; Diversification Requirements for Variable Annuity, Endowment, and Life Insurance Contracts to facilitate the use of exchange-traded funds as investment options under certain variable contracts. An exchange-traded fund means a regulated investment company, partnership, or trust (1) that is registered with the Securities and Exchange Commission as an open-end investment company or a unit investment trust, (2) the shares of which can be directly purchased or redeemed only by an authorized participant (i.e., a financial institution that is a member or participant of a registered clearing agency), and (3) the shares of which are traded throughout the day on a national stock exchange at market prices that may or may not be the same as the net asset value of the shares.",Enacted,Congressional Financial Literacy and Wealth Creation Caucus,Financial Services and General Government
H.R. 2909 (117th),To amend the Internal Revenue Code of 1986 to allow a one-time election for a qualified charitable distribution to a split-interest entity and to inflation adjust the limits for qualified charitable distributions.,"This bill allows taxpayers an election to make a qualified charitable distribution to a split-interest entity (i.e., a charitable remainder annuity trust, charitable remainder unitrust, or charitable gift annuity funded exclusively by qualified charitable distributions). The aggregate amount of distributions may not exceed $50,000, adjusted for inflation for taxable years beginning after 2022.",Enacted,Congressional Charitable Giving Caucus,Financial Services and General Government
S. 1446 (117th),"A bill to require the Secretary of Veterans Affairs to submit to Congress a plan for obligating and expending Coronavirus pandemic funding made available to the Department of Veterans Affairs, and for other purposes.",,,Veterans' Affairs Caucus,"Military Construction, Veterans Affairs and Related Agencies"
S. 1465 (117th),Railroad Crossing Elimination Act,,Enacted,High Speed and Passenger Rail Modernization Caucus,"Railroads, Pipelines and Hazardous Materials"
H.R. 2566 (117th),No TikTok on Government Devices Act,"This bill requires the social media video application TikTok to be removed from the information technology of federal agencies.Specifically, the bill requires the Office of Management and Budget to develop standards for executive agencies that require TikTok and any successor application from the developer to be removed from agency information technology (e.g., devices). Such standards must include exceptions for law enforcement activities, national security interests, and security researchers.",Enacted,Congressional Internet Caucus,"Cyber, Information Technologies and Innovation"
S. 957 (117th),DUMP Opioids Act,This bill requires the Department of Veterans Affairs (VA) to designate periods during which any individual may dispose of controlled substances medications at VA medical facilities with an on-site pharmacy or a physical location dedicated for law enforcement purposes.The bill also authorizes the VA to carry out public information campaigns regarding the designated disposal periods.,Enacted,Congressional Mental Health Caucus,"Military Construction, Veterans Affairs and Related Agencies"
H.R. 2597 (117th),"To designate the United States courthouse located at 1501 North 6th Street in Harrisburg, Pennsylvania, as the \u201cJudge Sylvia H. Rambo United States Courthouse\u201d, and for other purposes.","This bill designates the U.S. courthouse at 1501 North 6th Street in Harrisburg, Pennsylvania, as the Judge Sylvia H. Rambo United States Courthouse.",Enacted,Congressional Women in STEM Caucus,"Commerce, Justice, Science and Related Agencies"
H.R. 1460 (117th),Nicholas and Zachary Burt Memorial Carbon Monoxide Poisoning Prevention Act of 2021,This bill directs the Consumer Product Safety Commission to award grants to states and tribal organizations to install carbon monoxide alarms in the homes of low-income families and older adults and facilities that commonly serve children or older adults. Such carbon monoxide alarms must comply with specified standards.,Enacted,Congressional Safety Caucus,Energy and Water Development and Related Agencies
H.R. 2591 (117th),DUMP Opioids Act,This bill requires the Department of Veterans Affairs (VA) to ensure that each VA medical facility with an on-site pharmacy or a physical location dedicated for law enforcement purposes has a physical location where any individual may dispose of controlled substances medications.,Enacted,Congressional Bipartisan Mental Health & Substance Use Disorder Task Force,"Military Construction, Veterans Affairs and Related Agencies"
H.R. 1762 (117th),Protecting Indian Tribes from Scams Act,"This bill requires the Federal Trade Commission (FTC), after consultation with Indian tribes, to report on unfair or deceptive practices that target tribes or tribal members. The FTC must submit the report to Congress and make it publicly available. Further, the FTC must update its website to include information for consumers and businesses on identifying and avoiding unfair or deceptive practices that target tribes or tribal members.",Enacted,Congressional Native American Caucus,"Commerce, Justice, Science and Related Agencies"
H.R. 1215 (117th),Fraud and Scam Reduction Act,"This bill expands activities to address mail, telephone, and internet fraud, particularly such scams targeting older adults.The bill establishes a Senior Scams Prevention Advisory Group, which must create model educational materials to educate employees of retailers, financial-services companies, and wire-transfer companies on how to identify and prevent scams that affect older adults.Further, the Federal Trade Commission (FTC) must establish an advisory office in the Bureau of Consumer Protection to assist the FTC in monitoring scams targeting older adults, educating consumers, and receiving complaints.",Enacted,Congressional Senior Citizens Caucus,Financial Services and General Government
H.R. 172 (117th),United States Anti-Doping Agency Reauthorization Act of 2021,"This bill authorizes appropriations for the U.S. Anti-Doping Agency (USADA) through FY2030.The bill adds requirements that USADA be responsible for certifying in advance any testing conducted by international organizations under the World Anti-Doping Code for international amateur athletes and athletic competitions occurring within the jurisdiction of the United States; and promote a positive youth sport experience by using a portion of its funding to provide educational materials on sportsmanship, character building, and healthy performance for those participating in youth sports. The bill requires any action taken by USADA to enforce a policy, procedure, or requirement against a person with respect to a violation of federal law, including an investigation, disciplinary action, sanction, or any other administrative action, to be carried out in a manner that provides due process protection.The Department of Justice, the Department of Homeland Security, and the Food and Drug Administration must provide to USADA information relating to the prevention of the use of performance-enhancing drugs or the prohibition of performance-enhancing methods.",Enacted,Congressional Anti-Doping Caucus,"Labor, Health and Human Services, Education and Related Agencies"
